AccountID;DescriptionNOB;DescriptionENG
10;"Immaterielle eiendeler o.l.";"Intangible assets etc"
11;"Tomter, bygninger og annen fast eiendom";"Land, buildings and other real property"
12;"Transportmidler, inventar, maskiner o.l. ";"Means of transport, fixtures and fittings, machinery etc."
13;"Finansielle anleggsmidler";"Financial fixed assets"
14;"Varelager og forskudd til leverandører";"Inventory (stocks) and prepayments to suppliers"
15;"Kortsiktige fordringer";"Short-term receivables"
16;"Merverdiavgift, opptjente offentlige tilskudd o.l. ";"VAT (value-added tax), earned public grants etc."
17;"Forskuddsbetalt kostnad, påløpt inntekt o.l. ";"Prepaid expenses, accrued income etc."
18;"Kortsiktige finansinvesteringer";"Short-term financial investments"
19;"Kontanter, bankinnskudd o.l.";"Cash in hand, bank deposits etc."
20;"Egenkapital AS/ASA / Egenkapital andre foretak (inkl. samvirkeforetak)";"Equity, limited liability companies / Equity, other enterprises (including cooperative societies)"
21;"Avsetning for forpliktelser";"Provisions for liabilities and charges"
22;"Annen langsiktig gjeld";"Other long-term liabilities"
23;"Kortsiktige konvertible lån, obligasjonslån og gjeld til kredittinstitusjoner";"Short-term convertible loans, bond loans and liabilities to financial institutions"
24;"Leverandørgjeld";"Trade creditors"
25;"Betalbar skatt";"Tax payable"
26;"Skattetrekk og andre trekk";"Tax withholding and other deductions"
27;"Skyldige offentlige avgifter";"Public duties payable"
28;"Utbytte";"Dividends"
29;"Annen kortsiktig gjeld";"Other current liabilities"
30;"Salgsinntekt, avgiftspliktig";"Sales revenue, subject to VAT"
31;"Salgsinntekt, avgiftsfri";"Sales revenue, not subject to VAT"
32;"Salgsinntekt, unntatt avgiftsplikt";"Sales revenue, outside of VAT area"
33;"Offentlig avgift vedrørende omsetning";"Government fees and taxes related to sales"
34;"Offentlig tilskudd/refusjon";"Public grants/refunds"
35;"Uopptjent inntekt";"Unearned income"
36;"Leieinntekt";"Rental income"
37;"Provisjonsinntekt";"Commission income"
38;"Gevinst ved avgang av anleggsmidler (konto 380-384 samt 388-389). Verdiendring (konto 385-389).";"Profit on the sale of fixed assets (accounts 380-384 and 388-389). Change in value (accounts 385-389)."
39;"Annen driftsrelatert inntekt";"Other operational income"
40;"Forbruk av råvarer og innkjøpte halvfabrikata";"Consumption of raw materials and semi-manufactures"
41;"Forbruk av varer under tilvirkning";"Consumption of work in progress"
42;"Forbruk av ferdig tilvirkede varer";"Consumption of finished manufactured goods"
43;"Forbruk av innkjøpte varer for videresalg";"Consumption of goods purchased for resale"
45;"Fremmedytelse og underentreprise";"External services and subcontracts"
46;"Annen varekostnad";"Other consumption of goods"
49;"Annen periodisering";"Other accruals"
50;"Lønn til ansatte";"Wages and salaries to employees"
52;"Fordel i arbeidsforhold";"Benefit of employment"
53;"Annen opplysningspliktig godtgjørelse";"Other reportable remuneration"
54;"Arbeidsgiveravgift og pensjonskostnad";"Employers’ national insurance contributions and pension costs"
55;"Annen kostnadsgodtgjørelse";"Other expense allowances"
56;"Arbeidsgodtgjørelse til eiere o.l. ";"Labour remuneration to owners etc."
57;"Offentlig tilskudd vedrørende arbeidskraft";"Public work grant"
58;"Offentlig refusjon vedrørende arbeidskraft";"Public refunds related to labour"
59;"Annen personalkostnad";"Other personnel costs"
60;"Av- og nedskrivning";"Depreciation and write-downs"
61;"Frakt og transportkostnad vedrørende salg";"Freight and transport costs related to sales"
62;"Energi, brensel og vann vedrørende produksjon";"Energy, fuel and water related to production"
63;"Kostnad lokaler";"Costs related to premises"
64;"Leie maskiner, inventar, o.l. ";"Rental of machinery, fixtures, fittings etc."
65;"Verktøy, inventar og driftsmateriale som ikke skal aktiveres";"Tools, fixtures, fittings and operating materials that are not to be capitalised"
66;"Reparasjon og vedlikehold ";"Repair and maintenance"
67;"Fremmed tjeneste";"External services"
68;"Kontorkostnad, trykksak o.l. ";"Office costs, printed matter etc."
69;"Telefon og porto o.l. ";"Telephone and postage etc."
70;"Kostnad transportmidler";"Costs related to means of transport"
71;"Kostnad og godtgjørelse for reise, diett, bil, o.l. ";"Costs and allowances for travel, subsistence, car etc."
72;"Provisjonskostnad";"Commission charges"
73;"Salgs-, reklame- og representasjonskostnader";"Selling-, advertising- and entertainment expenses"
74;"Kontingent og gave";"Membership dues and gifts"
75;"Forsikringspremie, garanti- og servicekostnad";"Insurance premiums, guarantee and service costs"
76;"Lisens- og patentkostnad";"Licence- and patent costs"
77;"Annen kostnad";"Other expenses"
78;"Tap o.l. ";"Losses etc."
79;"Periodiseringskonto";"Accruals account"
80;"Finansinntekt";"Financial income"
81;"Finanskostnad";"Financial expenses"
83;"Skattekostnad på ordinært resultat";"Tax on ordinary result"
84;"Ekstraordinær inntekt";"Extraordinary income"
85;"Ekstraordinær kostnad ";"Extraordinary expenses"
86;"Skattekostnad på ekstraordinært resultat";"Tax on  extraordinary result"
88;"Årsresultat";"Net profit or loss for the year"
89;"Overføringer og disponeringer";"Transfers and allocations"
